"client_name","adv_id","adgroup_id","ea","cat","date","cost($USD)","impression","cpm","click","ctr(%)","cpc","reach","frequency","lpv","cplpv","lpv_rate(%)","dlpv","cpdlpv","dlpv_rate(%)","atc","cp","cp_value","cp_roas"
"Space NK ","ADV6904684416950337537","CTRL1822030320698417","LPV","CTRL","LifeTime",383.22,128947,2.97,1283,0.99,0.3,72723,1.77,709,0.54,55.26,137,2.8,10.68,190,6,240,0.63
"Space NK ","ADV6904684416950337537","CTRL1822030320698417","LPV","CTRL","D2025-01-25",128.9,51697,2.49,456,0.88,0.28,35482,1.46,277,0.47,60.75,67,1.92,14.69,73,1,55,0.43
"Space NK ","ADV6904684416950337537","CTRL1822030320698417","LPV","CTRL","D2025-01-26",182.55,56295,3.24,648,1.15,0.28,37080,1.52,331,0.55,51.08,61,2.99,9.41,99,2,69,0.38
"Space NK ","ADV6904684416950337537","TEST1822028739022865","DLPV","TEST","LifeTime",386.42,116358,3.32,893,0.77,0.43,69504,1.67,574,0.67,64.28,357,1.08,39.98,200,4,222.9,0.58
"Space NK ","ADV6904684416950337537","TEST1822028739022865","DLPV","TEST","D2025-01-25",137.93,40433,3.41,287,0.71,0.48,31523,1.28,182,0.76,63.41,114,1.21,39.72,34,0,0,0
"Space NK ","ADV6904684416950337537","TEST1822028739022865","DLPV","TEST","D2025-01-26",179.17,54377,3.29,459,0.84,0.39,39693,1.37,293,0.61,63.83,178,1.01,38.78,130,4,222.9,1.24
"Bank Now DE","ADV7091261576040284162","CTRL1821759151986786","LPV","CTRL","LifeTime",390.25,205452,1.9,1147,0.56,0.34,62144,3.31,735,0.53,64.08,136,2.87,11.86,0,0,0,0
"Bank Now DE","ADV7091261576040284162","CTRL1821759151986786","LPV","CTRL","D2025-01-20",20.76,12744,1.63,58,0.46,0.36,12252,1.04,43,0.48,74.14,8,2.6,13.79,0,0,0,0
"Bank Now DE","ADV7091261576040284162","CTRL1821759151986786","LPV","CTRL","D2025-01-21",62.5,34316,1.82,185,0.54,0.34,24476,1.4,112,0.56,60.54,23,2.72,12.43,0,0,0,0
"Bank Now DE","ADV7091261576040284162","CTRL1821759151986786","LPV","CTRL","D2025-01-22",62.38,31114,2,163,0.52,0.38,24083,1.29,110,0.57,67.48,22,2.84,13.5,0,0,0,0
"Bank Now DE","ADV7091261576040284162","CTRL1821759151986786","LPV","CTRL","D2025-01-23",62.13,29689,2.09,173,0.58,0.36,22975,1.29,112,0.55,64.74,25,2.49,14.45,0,0,0,0
"Bank Now DE","ADV7091261576040284162","CTRL1821759151986786","LPV","CTRL","D2025-01-24",47.34,23734,1.99,143,0.6,0.33,18195,1.3,96,0.49,67.13,18,2.63,12.59,0,0,0,0
"Bank Now DE","ADV7091261576040284162","CTRL1821759151986786","LPV","CTRL","D2025-01-25",44.89,26576,1.69,156,0.59,0.29,19275,1.38,91,0.49,58.33,17,2.64,10.9,0,0,0,0
"Bank Now DE","ADV7091261576040284162","CTRL1821759151986786","LPV","CTRL","D2025-01-26",55.21,29968,1.84,189,0.63,0.29,21998,1.36,113,0.49,59.79,16,3.45,8.47,0,0,0,0
"Bank Now DE","ADV7091261576040284162","TEST1821759159832593","DLPV","TEST","LifeTime",385.73,295000,1.31,957,0.32,0.4,68004,4.34,497,0.78,51.93,235,1.64,24.56,0,0,0,0
"Bank Now DE","ADV7091261576040284162","TEST1821759159832593","DLPV","TEST","D2025-01-20",21.24,17289,1.23,60,0.35,0.35,17058,1.01,24,0.89,40,12,1.77,20,0,0,0,0
"Bank Now DE","ADV7091261576040284162","TEST1821759159832593","DLPV","TEST","D2025-01-21",62.01,46438,1.34,144,0.31,0.43,33384,1.39,70,0.89,48.61,31,2,21.53,0,0,0,0
"Bank Now DE","ADV7091261576040284162","TEST1821759159832593","DLPV","TEST","D2025-01-22",62.5,46502,1.34,141,0.3,0.44,32161,1.45,79,0.79,56.03,35,1.79,24.82,0,0,0,0
"Bank Now DE","ADV7091261576040284162","TEST1821759159832593","DLPV","TEST","D2025-01-23",62.5,45510,1.37,133,0.29,0.47,31072,1.46,71,0.88,53.38,41,1.52,30.83,0,0,0,0
"Bank Now DE","ADV7091261576040284162","TEST1821759159832593","DLPV","TEST","D2025-01-24",46.87,38017,1.23,103,0.27,0.46,25694,1.48,55,0.85,53.4,30,1.56,29.13,0,0,0,0
"Bank Now DE","ADV7091261576040284162","TEST1821759159832593","DLPV","TEST","D2025-01-25",44.88,35163,1.28,128,0.36,0.35,22119,1.59,66,0.68,51.56,37,1.21,28.91,0,0,0,0
"Bank Now DE","ADV7091261576040284162","TEST1821759159832593","DLPV","TEST","D2025-01-26",55.17,45532,1.21,177,0.39,0.31,27069,1.68,91,0.61,51.41,42,1.31,23.73,0,0,0,0
"Bank Now FR","ADV7091261576040284162","CTRL1821759148588193","LPV","CTRL","LifeTime",390.82,191807,2.04,1119,0.58,0.35,60177,3.19,667,0.59,59.61,94,4.16,8.4,0,0,0,0
"Bank Now FR","ADV7091261576040284162","CTRL1821759148588193","LPV","CTRL","D2025-01-20",20.35,11409,1.78,61,0.53,0.33,10931,1.04,35,0.58,57.38,5,4.07,8.2,0,0,0,0
"Bank Now FR","ADV7091261576040284162","CTRL1821759148588193","LPV","CTRL","D2025-01-21",62.31,29382,2.12,193,0.66,0.32,21543,1.36,111,0.56,57.51,19,3.28,9.84,0,0,0,0
"Bank Now FR","ADV7091261576040284162","CTRL1821759148588193","LPV","CTRL","D2025-01-22",62.5,25733,2.43,177,0.69,0.35,20142,1.28,98,0.64,55.37,4,15.63,2.26,0,0,0,0
"Bank Now FR","ADV7091261576040284162","CTRL1821759148588193","LPV","CTRL","D2025-01-23",62.5,28903,2.16,170,0.59,0.37,22655,1.28,110,0.57,64.71,14,4.46,8.24,0,0,0,0
"Bank Now FR","ADV7091261576040284162","CTRL1821759148588193","LPV","CTRL","D2025-01-24",47.22,24502,1.93,114,0.47,0.41,19087,1.28,71,0.67,62.28,13,3.63,11.4,0,0,0,0
"Bank Now FR","ADV7091261576040284162","CTRL1821759148588193","LPV","CTRL","D2025-01-25",45.01,25736,1.75,130,0.51,0.35,19283,1.33,73,0.62,56.15,19,2.37,14.62,0,0,0,0
"Bank Now FR","ADV7091261576040284162","CTRL1821759148588193","LPV","CTRL","D2025-01-26",55.12,29793,1.85,175,0.59,0.31,21567,1.38,108,0.51,61.71,13,4.24,7.43,0,0,0,0
"Bank Now FR","ADV7091261576040284162","TEST1821759156574386","DLPV","TEST","LifeTime",386.63,316271,1.22,856,0.27,0.45,64503,4.9,469,0.82,54.79,189,2.05,22.08,0,0,0,0
"Bank Now FR","ADV7091261576040284162","TEST1821759156574386","DLPV","TEST","D2025-01-20",20.56,17444,1.18,45,0.26,0.46,17176,1.02,23,0.89,51.11,6,3.43,13.33,0,0,0,0
"Bank Now FR","ADV7091261576040284162","TEST1821759156574386","DLPV","TEST","D2025-01-21",62.5,49216,1.27,127,0.26,0.49,33420,1.47,71,0.88,55.91,35,1.79,27.56,0,0,0,0
"Bank Now FR","ADV7091261576040284162","TEST1821759156574386","DLPV","TEST","D2025-01-22",62.5,49022,1.27,141,0.29,0.44,31492,1.56,84,0.74,59.57,33,1.89,23.4,0,0,0,0
"Bank Now FR","ADV7091261576040284162","TEST1821759156574386","DLPV","TEST","D2025-01-23",52.61,50315,1.05,126,0.25,0.42,33144,1.52,71,0.74,56.35,34,1.55,26.98,0,0,0,0
"Bank Now FR","ADV7091261576040284162","TEST1821759156574386","DLPV","TEST","D2025-01-24",53.87,41584,1.3,100,0.24,0.54,26916,1.54,66,0.82,66,25,2.15,25,0,0,0,0
