"client_name","adv_id","adgroup_id","ea","cat","date","cost($USD)","impression","cpm","click","ctr(%)","cpc","reach","frequency","lpv","cplpv","lpv_rate(%)","dlpv","cpdlpv","dlpv_rate(%)","atc","cp","cp_value","cp_roas"
"Space NK ","ADV6904684416950337537","CTRL1822030320698417","LPV","CTRL","LifeTime",382.84,128825,2.97,1281,0.99,0.3,72723,1.77,708,0.54,55.27,137,2.79,10.69,190,6,240,0.63
"Space NK ","ADV6904684416950337537","CTRL1822030320698417","LPV","CTRL","D2025-01-20",0,0,0,0,0,0,0,NaN,0,0,0,0,0,0,0,0,0,0
"Space NK ","ADV6904684416950337537","CTRL1822030320698417","LPV","CTRL","D2025-01-21",0,0,0,0,0,0,0,NaN,0,0,0,0,0,0,0,0,0,0
"Space NK ","ADV6904684416950337537","CTRL1822030320698417","LPV","CTRL","D2025-01-22",0,0,0,0,0,0,0,NaN,0,0,0,0,0,0,0,0,0,0
"Space NK ","ADV6904684416950337537","CTRL1822030320698417","LPV","CTRL","D2025-01-23",0,0,0,0,0,0,0,NaN,0,0,0,0,0,0,0,0,0,0
"Space NK ","ADV6904684416950337537","CTRL1822030320698417","LPV","CTRL","D2025-01-24",0,0,0,0,0,0,0,NaN,0,0,0,0,0,0,0,0,0,0
"Space NK ","ADV6904684416950337537","CTRL1822030320698417","LPV","CTRL","D2025-01-25",128.9,51697,2.49,456,0.88,0.28,35482,1.46,277,0.47,60.75,67,1.92,14.69,73,1,55,0.43
"Space NK ","ADV6904684416950337537","CTRL1822030320698417","LPV","CTRL","D2025-01-26",182.55,56295,3.24,648,1.15,0.28,37080,1.52,331,0.55,51.08,61,2.99,9.41,99,2,69,0.38
"Space NK ","ADV6904684416950337537","TEST1822028739022865","DLPV","TEST","LifeTime",386.08,116256,3.32,891,0.77,0.43,69504,1.67,572,0.67,64.2,356,1.08,39.96,200,4,222.9,0.58
"Space NK ","ADV6904684416950337537","TEST1822028739022865","DLPV","TEST","D2025-01-20",0,0,0,0,0,0,0,NaN,0,0,0,0,0,0,0,0,0,0
"Space NK ","ADV6904684416950337537","TEST1822028739022865","DLPV","TEST","D2025-01-21",0,0,0,0,0,0,0,NaN,0,0,0,0,0,0,0,0,0,0
"Space NK ","ADV6904684416950337537","TEST1822028739022865","DLPV","TEST","D2025-01-22",0,0,0,0,0,0,0,NaN,0,0,0,0,0,0,0,0,0,0
"Space NK ","ADV6904684416950337537","TEST1822028739022865","DLPV","TEST","D2025-01-23",0,0,0,0,0,0,0,NaN,0,0,0,0,0,0,0,0,0,0
"Space NK ","ADV6904684416950337537","TEST1822028739022865","DLPV","TEST","D2025-01-24",0,0,0,0,0,0,0,NaN,0,0,0,0,0,0,0,0,0,0
"Space NK ","ADV6904684416950337537","TEST1822028739022865","DLPV","TEST","D2025-01-25",137.93,40433,3.41,287,0.71,0.48,31523,1.28,182,0.76,63.41,114,1.21,39.72,34,0,0,0
"Space NK ","ADV6904684416950337537","TEST1822028739022865","DLPV","TEST","D2025-01-26",179.17,54377,3.29,459,0.84,0.39,39693,1.37,293,0.61,63.83,178,1.01,38.78,130,4,222.9,1.24
